,hero,weight
4394,CAPTAIN AMERICA,16259
4717,SPIDER-MAN/PETER PAR,13717
6394,IRON MAN/TONY STARK,11817
4407,THOR/DR. DONALD BLAK,11427
2571,THING/BENJAMIN J. GR,10681
185,WOLVERINE/LOGAN,10353
5341,HUMAN TORCH/JOHNNY S,10237
5773,SCARLET WITCH/WANDA,9911
1704,MR. FANTASTIC/REED R,9775
4318,VISION,9696
1536,INVISIBLE WOMAN/SUE,9326
4389,BEAST/HENRY &HANK& P,9287
4836,CYCLOPS/SCOTT SUMMER,9099
4395,STORM/ORORO MUNROE S,8795
2650,HAWK,8483
2587,WASP/JANET VAN DYNE,8426
4302,COLOSSUS II/PETER RA,7863
261,PROFESSOR X/CHARLES,7840
4891,HULK/DR. ROBERT BRUC,7515
4187,ANT-MAN/DR. HENRY J.,7343
6326,MARVEL GIRL/JEAN GRE,6947
5534,ANGEL/WARREN KENNETH,6924
1931,WONDER MAN/SIMON WIL,6676
5392,ICEMAN/ROBERT BOBBY,6580
2562,NIGHTCRAWLER/KURT WA,6189
5834,SHE-HULK/JENNIFER WA,6174
5260,ROGUE /,6027
1399,SUB-MARINER/NAMOR MA,5817
4521,HERCULES [GREEK GOD],5710
5283,DR. STRANGE/STEPHEN,5576
6020,QUICKSILVER/PIETRO M,5530
5975,JAMESON J. JONAH,5494
4081,WATSON-PARKER MARY,5260
5911,JARVIS EDWIN,4988
2460,DAREDEVIL/MATT MURDO,4984
6415,BLACK WIDOW/NATASHA,4879
5704,SHADOWCAT/KATHERINE,4572
1464,CANNONBALL II/SAM GU,4535
6205,HAVOK/ALEX SUMMERS,4382
2085,PSYLOCKE/ELISABETH B,4184
4262,CRYSTAL [INHUMAN],3963
6176,FURY COL. NICHOLAS,3902
6004,BLACK KNIGHT V/DANE,3722
2392,BLACK PANTHER/T'CHAL,3671
2638,ROBERTSON JOE,3653
2792,QUASAR III/WENDELL V,3584
4758,WOLFSBANE/RAHNE SINC,3548
4760,GAMBIT/REMY LEBEAU,3474
486,RICHARDS FRANKLIN B,3331
1036,PARKER MAY,3314
635,NOVA/RICHARD RIDER,3295
725,SILVER SURFER/NORRIN,3289
373,MAGNETO/MAGNUS/ERIC,3266
3269,POLARIS/LORNA DANE,3220
1126,SUMMERS NATHAN CHRI,3194
2896,SUNSPOT/ROBERTO DACO,3158
5142,DR. DOOM/VICTOR VON,3124
5163,ODIN [ASGARDIAN],3071
6189,BANSHEE/SEAN CASSIDY,2990
6262,CAPTAIN MARVEL II/MO,2921
4786,FIRESTAR/ANGELICA JO,2848
1285,MOONDRAGON/HEATHER D,2790
6076,JONES RICHARD MILHO,2756
1651,BOOMER/TABITHA SMITH,2712
6139,SASQUATCH/WALTER LAN,2701
732,BALDER [ASGARDIAN],2687
2849,HOGUN [ASGARDIAN],2680
256,FANDRAL [ASGARDIAN],2667
3986,SIF,2651
6323,USAGENT/CAPTAIN JOHN,2635
2725,NAMORITA/NITA PRENTI,2634
4641,HUDSON HEATHER,2624
1226,THUNDERSTRIKE/ERIC K,2621
4916,VOLSTAGG,2601
2089,FALCON/SAM WILSON,2556
1258,LEEDS BETTY BRANT,2539
1698,MACTAGGERT MOIRA KI,2536
4183,LOKI [ASGARDIAN],2531
5671,JUBILEE/JUBILATION L,2523
4967,SERSI/SYLVIA,2458
1365,TIGRA/GREER NELSON,2450
3515,MIRAGE II/DANIELLE M,2386
364,THOMPSON EUGENE FLA,2337
4021,BINARY/CAROL DANVERS,2310
4396,MEDUSA/MEDUSALITH AM,2257
6252,MISS AMERICA/MADELIN,2224
3031,MOCKINGBIRD/DR. BARB,2214
5358,NORRISS SISTER BARB,2187
1845,IRON MAN IV/JAMES R.,2182
5390,PATRIOT/JEFF MACE,2176
3812,CAGE LUKE/CARL LUCA,2165
2909,PUCK/EUGENE MILTON J,2146
2384,GALACTUS/GALAN,2135
603,JUSTICE II/VANCE AST,2106
1725,SHAMAN/MICHAEL TWOYO,2091
2708,BLACK BOLT/BLACKANTO,2054
5496,GORGON [INHUMAN],2041
1954,FORGE,2026
713,NORTHSTAR/JEAN-PAUL,2001
1189,STARFOX/EROS,1996
5847,KARNAK [INHUMAN],1990
2141,IRON FIST/DANIEL RAN,1988
6143,SPEEDBALL/ROBBIE BAL,1974
3017,MASTERS ALICIA REIS,1947
2998,KINGPIN/WILSON FISK,1938
1672,THUNDERBIRD II/JAMES,1933
717,NELSON FRANKLIN FOG,1911
3570,BANNER BETTY ROSS T,1911
441,CAPTAIN BRITAIN/BRIA,1867
5407,SPIDER-WOMAN II/JULI,1845
4173,BISHOP /,1813
1079,AURORA/JEANNE-MARIE,1811
68,WHITE QUEEN/EMMA FRO,1789
5342,DUGAN TIMOTHY ALOYI,1787
3559,TRITON,1758
4142,STRONG GUY/GUIDO CAR,1744
4894,UATU,1735
3696,ENCHANTRESS/AMORA/HE,1711
6368,MAGIK/ILLYANA RASPUT,1709
1495,PHOENIX III/RACHEL S,1709
2741,COOPER DR. VALERIE,1709
1546,HELLCAT/PATSY WALKER,1698
4737,WARLOCK III,1654
913,MOON KNIGHT/MARC SPE,1652
4548,OSBORN HARRY,1636
4440,THANOS,1619
3822,LIVING LIGHTNING/MIG,1613
5406,DR. DRUID/ANTHONY LU,1602
4763,LOCKJAW [INHUMAN],1593
2986,DAZZLER II/ALLISON B,1589
2437,HEIMDALL [ASGARDIAN],1586
4851,LILANDRA NERAMANI [S,1578
3926,PHARAOH RAMA-TUT,1570
2969,LOCKHEED,1568
1228,URICH BEN,1568
3104,SIRYN/THERESA ROURKE,1565
1938,MYSTIQUE/RAVEN DARKH,1559
6051,MEGGAN,1544
902,CYPHER/DOUG RAMSEY,1529
3397,ROSS GEN. THADDEUS,1528
3421,WONG,1525
5865,PUNISHER II/FRANK CA,1509
1074,OSBORN LIZ ALLAN,1494
3345,SPIDER-MAN CLONE/BEN,1488
3843,BEETLE/ABNER RONALD,1483
2169,DRAX/ARTHUR DOUGLAS,1477
3145,MOONSTONE II/KARLA S,1472
1861,BLOB/FRED J. DUKES,1470
4912,POWER MAN/ERIK JOSTE,1468
3523,HARKNESS AGATHA,1458
2263,SCREAMING MIMI/MELIS,1440
1738,RICTOR/JULIO ESTEBAN,1435
2930,HUMAN TORCH ANDROID/,1432
1821,MULTIPLE MAN/JAMES A,1427
4338,ANT-MAN II/SCOTT HAR,1392
5535,SANDMAN/WILLIAM BAKE,1388
2536,WARLOCK II/ADAM WARL,1365
2647,NIGHT THRASHER/DUANE,1345
2858,DARKHAWK/CHRIS POWEL,1326
2651,WATSON ANNA,1311
4261,NIGHTHAWK II/KYLE RI,1275
541,LYJA LAZERFIST [SKRU,1213
1825,GEE/ALEX POWER,1208
2356,NOVA II/FRANKIE RAYE,1207
5596,DOC SAMSON/DR. LEONA,1205
2178,GYRICH HENRY PETER,1203
3793,JAMESON COL. JOHN,1193
2008,CLEA,1191
5984,APOCALYPSE/EN SABAH,1177
4969,KINCAID DR. JANE FO,1174
6241,DR. OCTOPUS/OTTO OCT,1169
4169,MEPHISTO,1163
6207,GRANT GLORIA GLORY,1152
4813,KNIGHT MISTY,1149
5130,KA-ZAR/KEVIN PLUNDER,1144
3786,MARROW/SARAH,1105
354,VIZIER,1100
2362,GARGOYLE II/ISAAC CH,1085
4634,RAGE/ELVIN DARYL HAL,1074
1011,DOMINO III/BEATRICE/,1071
3950,SUNFIRE/SHIRO YOSHID,1070
1535,BLACK CAT/FELICIA HA,1059
768,HUSK/PAIGE GUTHRIE,1058
3139,SKIN/ANGELO ESPINOSA,1057
4541,MAKKARI/MIKE KHARY/I,1054
3728,WILD CHILD/KYLE GIBN,1039
695,MAGMA/AMARA AQUILLA/,1035
4015,CALIBAN/,1029
5819,KARNILLA [ASGARDIAN],1024
950,PAGE KAREN,1019
5230,GUARDIAN/JAMES MACDO,1019
1480,HIGH EVOLUTIONARY/HE,1017
1626,CAPTAIN MARVEL/CAPTA,1016
3889,SHATTERSTAR II/GAVEE,1013
1703,SUMMERS MADELYNE MA,1007
2186,CHAMBER/JONOTHON STA,1004
4528,BOX IV/MADISON JEFFR,1003
2752,RED SKULL/JOHANN SCH,988
138,ABSORBING MAN/CARL C,988
4670,WRECKER III/DIRK GAR,986
2644,MADDICKS ARTHUR ART,982
5314,GAMORA,981
4161,CARTER SHARON,980
2138,CARTER PEGGY,980
5962,PYRO/ALLERDYCE JOHNN,975
5701,CITIZEN V II/HELMUT,969
3606,SYNCH/EVERETT THOMAS,968
4575,FIXER II/PAUL NORBER,965
425,THUNDERBALL/DR. ELIO,964
6192,GREEN GOBLIN/NORMAN,962
2970,PIP/PRINCE GOFERN,961
6361,ULTRON,960
2230,LONGSHOT,948
665,ETERNITY/ADAM QADMON,945
3046,HELA [ASGARDIAN],945
1782,DAGGER/TANDY BOWEN,943
4818,TILBY TRISH/PATRICI,936
2599,FIREFIST/RUSTY COLLI,929
6150,LEECH,927
3824,CORSAIR,919
3255,MAGUS,918
743,SKIDS/SALLY BLEVINS,918
2207,CLOAK/TYRONE JOHNSON,909
6172,SILHOUETTE,908
5187,SNOWBIRD/NARYA/ANNE,903
1114,DIAMONDBACK II/RACHE,897
1359,JOLT/HALLIE TAKAHAMA,894
1294,BLACK KING/SEBASTIAN,888
1427,MS. MARVEL II/SHARON,881
1462,GHOST RIDER II/JOHNN,874
2854,KLAW/ULYSSES KLAW,873
4030,SABRETOOTH/VICTOR CR,873
4349,ZABU,871
5958,PILEDRIVER II/BRIAN,869
2466,HOGAN VIRGINIA PEPP,868
3798,JACK OF HEARTS/JACK,864
5337,LIZARD/DR. CURTIS CO,863
442,REDWING,854
2088,COUNTERWEIGHT II/KAT,852
2616,AVALANCHE/DOMINIC PE,851
95,THENA,848
2376,BULLDOZER/HENRY CAMP,844
3067,DARKSTAR/LAYNIA SERG,843
1690,WING COLLEEN,842
2320,KARMA/XI'AN COY MANH,835
1052,SPIDER-WOMAN/JESSICA,834
1709,COUNTERWEIGHT/JACK P,833
2101,LIGHTSPEED/JULIE POW,833
2965,HELLSTORM/DAIMON HEL,833
1820,PENANCE/MONET ST. CR,820
3434,DE LA FONTAINE CONT,817
2332,LEEDS NED,808
5944,GHOST RIDER III/DAN,801
1791,IKARIS/IKE HARRIS [E,799
3507,MAXIMUS [INHUMAN],798
2279,HOGAN HAROLD J. HAP,798
4936,TITANIA II/MARY SKEE,795
5017,JONES GABE,788
4992,JAMESON MARLA MADIS,784
3699,MACHINE MAN/X-51,783
5525,O'BRIEN MICHAEL,782
2981,STINGRAY/DR. WALTER,779
2997,NOMAD III/JACK MONRO,777
1828,JUGGERNAUT/CAIN MARK,776
1996,MOLE MAN/HARVEY RUPE,766
27,WIZARD/BENTLEY WITTM,766
1670,LUNA/LUNA MAXIMOFF [,759
3554,TOAD/MORTIMER TOYNBE,756
5439,DAYTRIPPER/AMANDA SE,751
5249,CHARCOAL/CHARLIE BUR,750
2110,BUCKY/BUCKY BARNES,742
1102,SHANG-CHI,741
3634,STACY GWEN,741
2620,JOCASTA,739
2656,CH'OD,737
3284,SHANNA/SHANNA O'HARA,734
1728,TURBO II (A)/MICHIKO,733
6133,X-MAN/NATHAN GREY,733
3598,TALISMAN II/ELIZABET,732
298,RAZA LONGKNIFE,727
4727,HYPERION,721
1067,FERAL/MARIA CALLASAN,720
980,DEATH,720
2350,BETA RAY BILL,717
4304,MAM'SELLE HEPZIBAH,709
4409,HOBGOBLIN V/JASON PH,707
6177,FIREBIRD/BONITA JUAR,702
3913,DESTINY II/IRENE ADL,700
5652,DR. SPECTRUM/JOSEPH,697
6312,CUSHING KATE,692
1025,BRIDGE GEORGE WASHI,687
6090,TALBOT GLENN,686
4991,ROBERTSON RANDY,683
1643,VANGUARD/NICOLAI KRY,679
316,MOLECULE MAN/OWEN RE,679
1395,WHIZZER II/STANLEY S,678
5401,CITIZEN V III/DALLAS,678
2750,SITWELL JASPER,677
2945,ROM SPACEKNIGHT,676
435,TRIATHLON/DELROY GAR,674
1610,MANTIS/? BRANDT,669
2084,SWORDSMAN/JACQUES DU,669
437,ROSENTHAL BERNIE,668
4944,ELECTRO/MAX DILLON,667
2988,THANOS DOPPELGANGER,664
2166,LEADER/SAM STERNS,662
6195,PHOENIX II,659
2336,DIAMOND LIL/LILLIAN,646
4295,FIRELORD/PYREUS KRIL,643
4391,PUPPET MASTER/PHILLI,641
5335,CALLISTO,640
5207,MANDARIN,634
2131,RHINO,632
1980,VASHTI,627
4646,ARBOGAST BAMBI,623
6333,COBRA/KLAUS VORHEES,621
769,PERSUASION/KARA KILL,616
253,BEYONDER,615
5646,POWER DR. JIM,610
2695,LUBENSKI NATE,608
130,SPIRAL,608
2543,FORGOTTEN ONE/GILGAM,608
2465,DEATHBIRD [SHI'AR],604
949,M,602
3655,GLADIATOR II,602
3283,JONES MARLO CHANDLE,601
4676,PALADIN/PAUL DENNIS,593
4956,MERCADO JOY,592
3267,WISDOM PETER,592
2154,SUPREME INTELLIGENCE,592
5129,WINGFOOT WYATT,588
6070,TRAPSTER/PETER PETRU,576
3562,ZEUS,571
2218,STANKOWICZ FABIAN,569
2325,EXECUTIONER II/SKURG,568
4230,MR. SINISTER/NATHAN,567
2775,CARGIL/JOANNA CARGIL,564
4258,OSBORN NORMIE,560
2664,VULTURE/ADRIAN TOOME,560
4617,QUARTERMAIN CLAY,558
3892,HODGE CAMERON,556
4047,ANACONDA/BLANCHE SIT,556
3203,VIPER II,555
987,STARSHINE II/BRANDY,550
6132,STRYFE,548
4958,POWER MARGARET,547
6188,SOUTHERN CANDY,546
3113,KRISTOFF/KRISTOFF VE,543
4833,BLACK MAMBA/TANYA SE,542
2947,DEADPOOL/JACK/WADE W,542
3810,WIDGET,540
4701,ARCANNA/ARCANNA JONE,540
167,HUNTER STEVIE,538
1692,FRIGGA,538
3740,STACY JILL,537
6256,BALLANTINE KAYLA,537
4994,SELENE,536
6017,JOSEPH,534
3795,GATEWAY,531
2405,CONSTRICTOR/FRANK PA,530
351,WHIZZER/ROBERT L. FR,529
2255,COLLECTOR/TANELEER T,525
4032,MASTER MOLD II,525
2055,VOLCANA/MARSHA ROSEN,524
1716,TORPEDO III/BROCK JO,520
3211,MASTERMIND/JASON WYN,517
3126,DEMOLITION MAN/DENNI,515
3230,SCANNER II,514
2943,THINKER,514
2442,KELLY SEN. ROBERT E,511
1635,ASP II/CLEO,510
2302,ATTUMA,510
3002,RINTRAH,509
3288,AUSTIN SUSAN,508
2900,LADY LARK/LINDA LEWI,507
4801,MR. FANTASTIC DOPPEL,505
5268,ROBERTSON MARTHA,505
5041,STUART DR. ALISTAIR,501
4435,CR'REEE,498
1518,HYDROMAN/MORRIE BENC,498
5400,LORELEI II/MELODI [A,494
5700,CORTEZ FABIAN,493
5795,ULIK,493
2609,BOOMERANG/FRED MYERS,490
2099,DORMAMMU,488
1254,MASTERSON KEVIN,488
2082,TIGER SHARK/TODD ARL,488
4743,MAD DOG/COLONEL BUZZ,486
3613,PRINCESS PYTHON/ZELD,483
3917,SAURON/DR. KARL LYKO,479
2414,TOMBSTONE/LONNIE THO,479
2556,WEREWOLF BY NIGHT/JA,477
394,MISTER HYDE/CALVIN Z,476
2075,GREY DR. JOHN,474
284,BLACK GOLIATH/DR. WI,474
6164,SABRA/RUTH BAT-SERAP,473
6093,KISMET/J'RIDIA STARD,472
3394,VENOM/EDDIE BROCK,469
5870,COPYCAT/VANESSA,466
5871,HAMMERHEAD,464
2125,BANNON LANCE,462
4133,FRENCHIE/JEAN-PAUL D,462
226,KARKAS [DEVIANT],460
1590,POWER PRINCESS/ZARDA,459
342,BOVA,459
5108,IRON MAN DOPPELGANGE,459
4023,MADAME MASQUE/GIULIE,459
3226,KRO [DEVIANT],458
5712,CHORD ANDREW,454
4227,LEGION II/DAVID HALL,454
1348,DRACULA/VLAD TEPES,453
4557,MYSTERIO/QUENTIN BEC,452
1710,ARRANGER/,451
5936,BARON STRUCKER/WOLFG,450
5536,SWORDSMAN III/PHILIP,450
6161,PATHWAY/LAURA DEAN,449
1795,RICHARDS NATHANIEL,448
1207,LE FEY MORGAN,444
6039,TORO/TOM RAYMOND,443
520,REJECT/RAN-SAK [DEVI,441
724,BLAQUESMITH,440
802,CORBEAU DR. PETER,436
5790,TARR BLACK JACK,436
5361,RONAN THE ACCUSER [K,436
5475,GHAUR [DEVIANT],434
2163,SILVER SABLE,433
5289,WINDSHEAR/COLIN ASHW,433
815,CRIMSON COWL II/,433
687,STONE LT. MARCUS,432
887,RED GUARDIAN III/DR.,432
5693,TESSA,428
5087,HAMMER JUSTIN,427
1155,SCHEMER/RICHARD FISK,424
5668,KATZENBERG NICK,422
4491,GREY ELAINE,421
6296,EBONY,420
2919,ZARRKO ARTHUR,420
5749,DARK BEAST/HENRY MCC,420
3057,WHIPLASH/MARK SCARLO,419
3952,WHIRLWIND/DAVID CANN,418
2108,S'YM,416
296,ARCLIGHT/PHILLIPA SO,415
391,BLOODSTORM | MUTANT,415
2289,KAINE,413
3154,CHENEY LILA,412
1095,DEATHLOK III/MICHAEL,410
4403,NEBULA,409
4070,VOGHT AMELIA,408
916,ROSS EVERETT KENNET,408
3528,BEDLAM/JESSE AARONSO,407
58,WU LEIKO,406
2938,CHAMELEON/DMITRI SME,405
2219,LUMPKIN WILLIAM WIL,405
2229,URSA MAJOR/MIKHAIL U,404
3166,SPEEDBALL II/DARRION,403
5939,MENTOR/ALARS [ETERNA,402
5552,RED GHOST/IVAN KRAGO,401
5461,ICE-MAN | MUTANT X-V,401
930,BRUTE | MUTANT X-VER,401
2786,MAN-THING/THEODORE T,401
6293,GRANDMASTER/EN DWI G,400
2555,STRANGER,399
2514,WOLFE SARA,396
3846,MARRINA/MARRINA SMAL,396
1594,RESTON CLIVE,396
62,PEATOR,395
250,ZERO,395
3425,CRIMSON DYNAMO V/DIM,393
4323,HILDY [ASGARDIAN],393
4489,WITCHFIRE,387
1111,IGOR,386
5137,MIKHLO,386
